canonical_id,name,definition,value,unit,year,source,appendix_or_section,notes
KPP-A1,National continuous coverage rate,,>=99.5%,,,,KPP Dictionary,Domain: coverage/affordability; Trace: SN-02
KPP-A2,Residual uninsured rate,,<=0.2%,,,,KPP Dictionary,Domain: coverage/affordability; Trace: SN-02
KPP-A3,Covered-care patient-billing rate,,<=0.5%,,,,KPP Dictionary,Domain: coverage/affordability; Trace: SN-01
KPP-A4,New covered-care medical debt incidence,,<=1% baseline,,,,KPP Dictionary,Domain: coverage/affordability; Trace: SN-01
KPP-A5,Household direct health burden,,>=90% reduction from baseline,,,,KPP Dictionary,Domain: coverage/affordability; Trace: SN-01
KPP-A6,Worker premium elimination rate,,>=98%,,,,KPP Dictionary,Domain: coverage/affordability; Trace: SN-25
KPP-A7,Medical bankruptcy reduction,,>=90% reduction,,,,KPP Dictionary,Domain: coverage/affordability; Trace: SN-01
KPP-B1,Primary front-door access time,,median <=24 hours,,,,KPP Dictionary,Domain: access/capacity; Trace: SN-03
KPP-B2,Same-day low-acuity access rate,,>=85%,,,,KPP Dictionary,Domain: access/capacity; Trace: SN-03
KPP-B3,Avoidable ED diversion rate,,>=30% low-acuity ED reduction,,,,KPP Dictionary,Domain: access/capacity; Trace: SN-03
KPP-B4,Specialist e-consult resolution rate,,>=40%,,,,KPP Dictionary,Domain: access/capacity; Trace: SN-04
KPP-B5,Routine specialist wait time,,median <=30 days,,,,KPP Dictionary,Domain: access/capacity; Trace: SN-04
KPP-B6,Urgent specialist timeliness,,>=95% within urgency-class target,,,,KPP Dictionary,Domain: access/capacity; Trace: SN-04
KPP-B7,Diagnostic-treatment unit coverage,,>=95% population within access standard by P8,,,,KPP Dictionary,Domain: access/capacity; Trace: SN-03
KPP-B8,Unit-resolved encounter rate,,>=70% without escalation within 7 days,,,,KPP Dictionary,Domain: access/capacity; Trace: SN-03
KPP-B9,Unsafe under-referral rate,,"<=3 per 10,000 non-escalated encounters",,,,KPP Dictionary,Domain: access/safety; Trace: SN-16
