baseline_id,superseded_id,measures,measures_status,disaggregation,category,description,value,value_low,value_high,value_type,unit,year,use_as,source_name,source_url,confidence,notes
BL-0001,CP-TOT-001,CP-TOT-001,mapped,,CP-TOT,Total U.S. National Health Expenditure (NHE),4866.5,,,point,USD billions,2023,calibration,CMS Office of the Actuary NHE Historical Data,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,Last fully finalized historical year; 2024 preliminary ~$5.3T
BL-0002,CP-TOT-002,CP-TOT-003,mapped,,CP-TOT,NHE as percent of GDP,17.6,,,point,percent,2023,calibration,CMS NHE Fact Sheet,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,
BL-0003,CP-TOT-003,CP-TOT-002,mapped,,CP-TOT,Per-capita NHE,14570,,,point,USD/person,2023,calibration,CMS NHE Fact Sheet,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,
BL-0004,CP-TOT-004a,CP-HOSP-002,mapped,"NHE service-type category, 1 of 6",CP-TOT,Hospital care spending,1519.7,,,point,USD billions,2023,calibration,CMS NHE,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,31% of NHE
BL-0005,CP-TOT-004b,,no-canonical-equivalent,"NHE service-type category, 2 of 6",CP-TOT,Physician and clinical services spending,978.0,,,point,USD billions,2023,calibration,CMS NHE,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,20% of NHE
BL-0006,CP-TOT-004c,,no-canonical-equivalent,"NHE service-type category, 3 of 6",CP-TOT,Retail prescription drug spending,449.7,,,point,USD billions,2023,calibration,CMS NHE,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,9% of NHE. The 2024 figure ($467.0B) is BL-0047 and is a different vintage; do not sum the two.
BL-0007,CP-TOT-004d,,no-canonical-equivalent,"NHE service-type category, 4 of 6",CP-TOT,Nursing care facilities and continuing care spending,211.3,,,point,USD billions,2023,calibration,CMS NHE,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,
BL-0008,CP-TOT-004e,,no-canonical-equivalent,"NHE service-type category, 5 of 6",CP-TOT,Dental services spending,173.8,,,point,USD billions,2023,calibration,CMS NHE,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,The 2024 figure ($189.2B) is BL-0062 and is a different vintage; do not sum the two.
BL-0009,CP-TOT-004f,,no-canonical-equivalent,"NHE service-type category, 6 of 6",CP-TOT,Home health care spending (freestanding agencies),147.8,,,point,USD billions,2023,calibration,CMS NHE,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,
BL-0010,CP-TOT-005,,no-canonical-equivalent,,CP-TOT,Combined administrative overhead (net cost of private insurance + government administration),360.3,,,point,USD billions,2023,calibration,CMS NHE,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,7.4% of NHE; narrower than academic admin-waste estimates in CP-OFF
BL-0011,CP-TOT-009,,no-canonical-equivalent,,CP-TOT,CMS projected NHE by 2033,8600,,,point,USD billions,2033,trend,CMS NHE Projections 2024-33,https://www.cms.gov/files/document/nhe-projections-forecast-summary.pdf,high,Status-quo projection; 20.3% of GDP; $24200 per capita
BL-0012,CP-TOT-010,,no-canonical-equivalent,,CP-TOT,U.S. GDP,29298,,,point,USD billions,2024,benchmark,Bureau of Economic Analysis,https://www.bea.gov/data/gdp/gross-domestic-product,high,"2024 GDP. The model's BASE2023 uses 2023 GDP ($27,720B); this row is not that denominator. See the canonical-denominator table in research/README.md."
BL-0013,CP-POP-001,CP-POP-001,mapped,,CP-POP,U.S. resident population,347300000,,,point,persons,2025,benchmark,Census Bureau Vintage 2025 Population Estimates,https://www.census.gov/programs-surveys/popest.html,high,"Growth slowing to +0.5%/yr; slowest since early COVID. Census Vintage 2025 estimate for July 1 2025. This is NOT the model's calibration denominator (334.0M, 2023)."
BL-0014,CP-POP-003,,unmapped,,CP-POP,Population age 65+ (Peak 65),71000000,,,point,persons,2030,trend,Census Bureau,https://www.census.gov/library/stories/2019/12/by-2030-all-baby-boomers-will-be-age-65-or-older.html,high,"All Baby Boomers reach 65 by 2030; >20% of population. No bind: a single age-band headcount is not a distribution. CP-POP-003 (age-risk distribution) is what this INFORMS - it needs every band and a risk cut - so this row is an input to it, not a measurement of it. Binding it would let a consumer read 71M as the whole distribution."
BL-0015,CP-POP-004a,,no-canonical-equivalent,"Uninsurance measure, 1 of 2",CP-POP,Uninsured rate (all ages),8.0,,,point,percent,2024,benchmark,"U.S. Census Bureau, Health Insurance Coverage in the United States: 2024 (CPS ASEC, P60-288)",https://www.census.gov/library/publications/2025/demo/p60-288.html,medium-high,"All-ages CPS ASEC rate. Two incompatible measures exist: BL-0016 is KFF/ACS, under-65, and the two are not comparable. The dashboard's 26.7M headline is the under-65 COUNT paired with this all-ages RATE; see research/README.md."
BL-0016,CP-POP-004b,,no-canonical-equivalent,"Uninsurance measure, 2 of 2",CP-POP,Uninsured rate (under age 65),9.8,,,point,percent,2024,benchmark,KFF analysis of Census ACS,https://www.kff.org/uninsured/key-facts-about-the-uninsured-population/,medium-high,"Rose from 9.5% in 2023 with Medicaid unwinding, and likely higher in 2025-2026 with ACA subsidy expiration. This rate is the one the 26.7M under-65 uninsured count belongs to. Not comparable with BL-0015's all-ages 8.0%."
BL-0017,CP-FIN-001,CP-FIN-002,mapped,"Redirectable federal health spending, component",CP-FIN,Federal Medicare spending (net),988,,,point,USD billions,2025,benchmark,CBO baseline via CRFB,https://www.crfb.org/blogs/cbo-projects-high-federal-health-program-costs,medium,"Reconcile against the CMS NHE total-Medicare figure ($1,029.8B, 2023), which is a broader accounting concept."
