canonical_id,name,definition,value,unit,year,source,appendix_or_section,notes
CP-TOT-001,Total annual system cost,"Total public, residual private, and patient-paid health-system cost in year t",,dollars/year,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-002,Per-capita system cost,C_total(t) divided by covered population,,dollars/person/year,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-003,System cost as GDP share,C_total(t) divided by GDP(t),,percent GDP,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-004,Public share of system cost,Publicly financed health spending divided by total system cost,,percent,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-005,Residual private spending,Spending through certified supplemental/substitute coverage and noncovered services,,dollars/year,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-006,Patient point-of-care spending,Direct patient payments for covered and noncovered care,,dollars/year,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-007,Transition-adjusted annual cost,Operating cost plus annualized transition cost,,dollars/year,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-008,Net savings versus baseline,Baseline national health spending minus framework total cost,,dollars/year,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-009,Gross added framework spending,"New spending added by expanded benefits, units, workforce, safety, transition, and governance",,dollars/year,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-TOT-010,Gross framework savings,"Savings from administrative simplification, purchasing, hospital reform, ED diversion, and other offsets",,dollars/year,,,Cost Parameter Dictionary > CP-TOT: Total System Cost Parameters,
CP-POP-001,Covered population,Number of persons covered by National Health Assurance,,,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-002,Eligibility churn rate,Share of population with eligibility status change in year t,,percent/year,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-003,Age-risk distribution,Covered population by age and risk band,,,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-004,Chronic disease prevalence vector,Prevalence of priority chronic diseases by region and population group,,,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-005,Unmet demand release factor,Increase in utilization caused by newly affordable access,,multiplier,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-006,Zero-cost utilization elasticity,Change in service utilization caused by reduced point-of-care price,,elasticity,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-007,Regional morbidity adjustment,Relative cost adjustment by regional disease burden,,index,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-008,Rural access cost multiplier,Incremental cost factor for rural and frontier delivery,,multiplier,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-009,Disability support intensity index,Relative service intensity for disabled beneficiaries,,index,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-POP-010,Aging pressure factor,Annual utilization or cost increase due to population aging,,percent/year,,,"Cost Parameter Dictionary > CP-POP: Population, Enrollment, and Demand Parameters",
CP-CLM-001,Enrollment operating cost per covered person,,,dollars/person/year,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-002,Eligibility transaction cost,,,dollars/transaction,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-003,Medical claim volume,,,claims/year,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-004,Pharmacy claim volume,,,claims/year,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-005,Clean claim processing cost,,,dollars/claim,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-006,Manual claim intervention cost,,,dollars/manual claim,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-007,Clean claim auto-adjudication rate,,,percent,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-008,Improper payment loss rate,,,percent of payment dollars,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-009,Improper payment recovery rate,,,percent of identified improper dollars,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-010,Provisional payment volume,,,dollars/year,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-011,Provisional payment recovery rate,,,percent,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-012,Provider delay penalty cost,,,dollars/year,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-013,Appeals-driven payment adjustment cost,,,dollars/year,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-014,Claims platform fixed operating cost,,,dollars/year,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-CLM-015,Treasury disbursement transaction cost,,,dollars/payment,,,"Cost Parameter Dictionary > CP-CLM: Coverage, Claims, and Payment Parameters",
CP-HOSP-001,Hospital global budget base,Certified annual operating budget per hospital,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-002,Hospital global budget total,Sum of certified hospital budgets,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-003,Emergency readiness cost,Annual cost to maintain emergency capacity,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-004,Essential service-line cost,Annual cost by protected service line,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-005,Rural hospital readiness premium,Incremental payment for rural essential capacity,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-006,Hospital staffing compliance cost,Incremental labor cost to meet staffing safety floors,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-007,Hospital capital replacement allowance,Annual capital budget required to maintain infrastructure,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-008,Hospital conversion stabilization payment,Temporary payment to keep hospital inside stabilization corridor,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-009,Global budget variance,Actual spending minus certified budget,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-010,Facility-fee elimination savings,Spending reduction from eliminating routine outpatient facility fees,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-011,Related-party extraction savings,Spending reduction from limiting related-party payments and extraction,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-012,Avoidable admission volume,Number of admissions avoided through improved care,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-013,Avoided admission unit savings,Average cost avoided per preventable admission,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-014,Readmission reduction savings,Savings from reduced unplanned 30-day readmissions,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-HOSP-015,Hospital service-line closure replacement cost,Cost to replace an essential service line,,,,,Cost Parameter Dictionary > CP-HOSP: Hospital and Facility Parameters,
CP-CLIN-001,Primary care panel cost,Annual cost per attributed patient,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-002,Primary care complex-care premium,Incremental cost for complex longitudinal care,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-003,Physician compensation cost,Total salary/payment cost for physicians by specialty,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-004,Nonphysician clinician compensation cost,"Total compensation for nurses, NPs, PAs, pharmacists, paramedics, therapists, and technicians",,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
